,distinct_31mers
streptococcus_pneumoniae__08,77025872.00000000
streptococcus_pneumoniae__09,61201212.00000000
streptococcus_pneumoniae__10,50177408.00000000
streptococcus_pneumoniae__11,98054816.00000000
streptococcus_pneumoniae__12,88106280.00000000
streptococcus_pneumoniae__13,15256329.00000000
streptococcus_pseudopneumoniae__01,21616850.00000000
streptococcus_pyogenes__01,83531280.00000000
streptococcus_pyogenes__02,49085800.00000000
streptococcus_pyogenes__03,47864900.00000000
streptococcus_pyogenes__04,33477530.00000000
streptococcus_pyogenes__05,9417716.00000000
streptococcus_sp_group_b__01,6337701.00000000
streptococcus_suis__01,124387640.00000000
streptococcus_uberis__01,19639226.00000000
taylorella_equigenitalis__01,5346078.00000000
treponema_pallidum__01,50935464.00000000
vibrio_cholerae__01,165954272.00000000
vibrio_cholerae__02,131541688.00000000
vibrio_parahaemolyticus__01,110343000.00000000
vibrio_shilonii__01,19904038.00000000
vibrio_vulnificus__01,79690648.00000000
wolbachia_endosymbiont_of_drosophila_melanogaster__01,1312887.25000000
xanthomonas_oryzae__01,47483496.00000000
yersinia_enterocolitica__01,104364472.00000000
yersinia_pestis__01,8080753.50000000
yersinia_pseudotuberculosis__01,22969436.00000000
